date,val_score,macro_score,sent_score,trend_score,total_score,market_state
2015-01-05,13.0,12.0,14.0,12.0,51.0,震荡
2015-01-06,13.0,12.0,14.0,7.0,46.0,震荡
2015-01-07,13.0,12.0,14.0,9.0,48.0,震荡
2015-01-08,13.0,12.0,12.5,9.0,46.5,震荡
2015-01-09,13.0,15.0,12.5,9.0,49.5,震荡
2015-01-12,13.0,15.0,12.5,3.0,43.5,震荡
2015-01-13,13.0,15.0,12.5,3.0,43.5,震荡
2015-01-14,13.0,15.0,12.5,3.0,43.5,震荡
2015-01-15,13.0,13.0,12.5,6.5,45.0,震荡
2015-01-16,13.0,12.0,12.5,7.5,45.0,震荡
2015-01-19,13.0,12.0,8.0,5.5,38.5,下行
2015-01-20,13.0,12.0,8.0,5.5,38.5,下行
2015-01-21,13.0,12.0,7.0,5.5,37.5,下行
2015-01-22,13.0,12.0,7.0,5.5,37.5,下行
2015-01-23,13.0,12.0,7.0,6.5,38.5,下行
2015-01-26,13.0,12.0,9.5,15.0,49.5,震荡
2015-01-27,13.0,13.0,9.5,11.0,46.5,震荡
2015-01-28,13.0,13.0,9.5,11.0,46.5,震荡
2015-01-29,13.0,13.0,9.5,5.0,40.5,震荡
2015-01-30,13.0,13.0,8.0,7.0,41.0,震荡
2015-02-02,13.0,13.0,8.0,4.5,38.5,下行
2015-02-03,13.0,13.0,7.0,4.5,37.5,下行
2015-02-04,13.0,13.0,7.0,3.0,36.0,下行
2015-02-05,13.0,13.0,7.0,3.0,36.0,下行
2015-02-06,13.0,13.0,8.0,3.0,37.0,下行
2015-02-09,13.0,13.0,8.0,3.0,37.0,下行
2015-02-10,13.0,10.0,9.5,3.0,35.5,下行
2015-02-11,13.0,9.0,9.5,4.5,36.0,下行
2015-02-12,13.0,9.0,9.5,10.5,42.0,震荡
2015-02-13,13.0,9.0,8.5,10.5,41.0,震荡
2015-02-16,13.0,9.0,11.0,11.5,44.5,震荡
2015-02-17,13.0,9.0,9.5,13.0,44.5,震荡
2015-02-25,13.0,9.0,10.5,13.0,45.5,震荡
2015-02-26,13.0,10.0,8.5,15.0,46.5,震荡
2015-02-27,13.0,9.0,12.0,17.0,51.0,震荡
2015-03-02,13.0,9.0,13.5,17.0,52.5,震荡
2015-03-03,13.0,10.0,15.0,15.0,53.0,震荡
2015-03-04,13.0,9.0,15.0,15.0,52.0,震荡
2015-03-05,13.0,10.0,15.0,15.0,53.0,震荡
2015-03-06,13.0,10.0,15.0,17.0,55.0,震荡
2015-03-09,13.0,10.0,15.0,17.0,55.0,震荡
2015-03-10,13.0,12.0,15.0,19.0,59.0,震荡
2015-03-11,13.0,12.0,17.0,19.0,61.0,震荡偏强
2015-03-12,13.0,12.0,15.0,19.0,59.0,震荡
2015-03-13,13.0,12.0,17.0,21.0,63.0,震荡偏强
2015-03-16,13.0,12.0,17.0,23.0,65.0,震荡偏强
2015-03-17,13.0,12.0,15.5,23.0,63.5,震荡偏强
2015-03-18,13.0,12.0,13.5,23.0,61.5,震荡偏强
2015-03-19,13.0,12.0,13.5,23.0,61.5,震荡偏强
2015-03-20,13.0,12.0,15.0,23.0,63.0,震荡偏强
2015-03-23,13.0,12.0,15.0,23.0,63.0,震荡偏强
2015-03-24,13.0,12.0,15.0,23.0,63.0,震荡偏强
2015-03-25,13.0,12.0,15.0,23.0,63.0,震荡偏强
2015-03-26,13.0,12.0,17.0,23.0,65.0,震荡偏强
2015-03-27,13.0,12.0,17.0,23.0,65.0,震荡偏强
2015-03-30,13.0,12.0,15.0,23.0,63.0,震荡偏强
2015-03-31,13.0,12.0,17.0,26.0,68.0,震荡偏强
2015-04-01,13.0,12.0,17.0,26.0,68.0,震荡偏强
2015-04-02,13.0,12.0,16.0,26.0,67.0,震荡偏强
2015-04-03,13.0,12.0,16.0,28.0,69.0,震荡偏强
2015-04-07,13.0,12.0,16.0,28.0,69.0,震荡偏强
2015-04-08,11.5,12.0,16.0,28.0,67.5,震荡偏强
2015-04-09,11.5,13.0,16.0,28.0,68.5,震荡偏强
2015-04-10,11.5,12.0,16.0,28.0,67.5,震荡偏强
2015-04-13,11.5,12.0,16.0,28.0,67.5,震荡偏强
2015-04-14,11.5,12.0,16.0,28.0,67.5,震荡偏强
2015-04-15,11.5,12.0,16.0,28.0,67.5,震荡偏强
2015-04-16,11.5,12.0,16.0,28.0,67.5,震荡偏强
2015-04-17,11.5,12.0,14.5,28.0,66.0,震荡偏强
2015-04-20,11.5,12.0,11.0,28.0,62.5,震荡偏强
2015-04-21,11.5,12.0,9.5,28.0,61.0,震荡偏强
2015-04-22,11.5,12.0,9.5,28.0,61.0,震荡偏强
2015-04-23,11.5,12.0,9.5,28.0,61.0,震荡偏强
2015-04-24,11.5,12.0,11.0,28.0,62.5,震荡偏强
2015-04-27,11.5,12.0,12.5,28.0,64.0,震荡偏强
2015-04-28,11.5,12.0,11.0,28.0,62.5,震荡偏强
2015-04-29,11.5,12.0,11.0,28.0,62.5,震荡偏强
2015-04-30,11.5,12.0,11.0,28.0,62.5,震荡偏强
2015-05-04,11.5,12.0,12.5,22.0,58.0,震荡
2015-05-05,11.5,12.0,12.5,24.0,60.0,震荡
2015-05-06,11.5,13.0,12.5,16.0,53.0,震荡
2015-05-07,13.0,13.0,12.5,13.0,51.5,震荡
2015-05-08,11.5,12.0,13.5,13.0,50.0,震荡
2015-05-11,11.5,13.0,10.0,14.0,48.5,震荡
2015-05-12,11.5,13.0,10.0,15.0,49.5,震荡
2015-05-13,11.5,13.0,10.0,15.0,49.5,震荡
2015-05-14,11.5,13.0,10.0,15.0,49.5,震荡
